Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões);4390 - Taxa de juros - Selic acumulada no mês - % a.m.;7836 - Saldo mensal de depósitos de poupança - SBPE e rural - u.m.c. (milhões);24369 - Taxa de desocupação - PNADC - %;27790 - Meios de pagamento - Depósitos à vista (saldo em final de período) - Novo - u.m.c. (mil);27805 - Meios de pagamento amplos - Depósitos a prazo (saldo em final de período) - Novo - u.m.c. (mil)
jan/22;0,54;723.753,60;0,73;1.016.336;11,2;327.800.630;1.847.728.489
fev/22;1,01;753.468,20;0,76;1.016.206;11,2;333.167.467;1.876.970.776
mar/22;1,62;842.306,40;0,93;1.006.168;11,1;335.803.641;1.934.157.259
abr/22;1,06;832.164,10;0,83;1.002.013;10,5;342.279.371;1.959.695.473
mai/22;0,47;841.829,70;1,03;1.011.083;9,8;331.986.501;2.014.370.891
jun/22;0,67;843.487,60;1,02;1.013.637;9,3;336.964.270;2.066.863.319
jul/22;-0,68;869.096,40;1,03;1.007.237;9,1;333.751.521;2.107.808.332
ago/22;-0,36;873.997,90;1,17;991.813;8,9;336.587.010;2.168.687.636
set/22;-0,29;858.087,60;1,07;992.437;8,7;335.927.581;2.211.872.492
out/22;0,59;880.490,90;1,02;987.713;8,3;323.571.520;2.212.801.051
nov/22;0,41;880.772,70;1,02;986.460;8,1;331.747.472;2.256.722.439
dez/22;0,62;880.221,50;1,12;998.943;7,9;352.649.985;2.320.921.736
jan/23;0,53;811.635,50;1,12;972.638;8,4;312.461.652;2.290.884.227
fev/23;0,84;829.964,10;0,92;968.040;8,6;319.491.752;2.322.716.246
mar/23;0,71;939.418,40;1,17;967.495;8,8;323.548.712;2.421.620.253
abr/23;0,61;909.774,50;0,92;967.531;8,5;326.478.937;2.425.059.018
mai/23;0,23;912.462,10;1,12;961.489;8,3;314.584.231;2.490.490.861
jun/23;-0,08;905.343,20;1,07;970.363;8;315.726.139;2.547.582.751
jul/23;0,12;921.264,40;1,07;972.934;7,9;311.281.724;2.574.907.869
ago/23;0,23;932.397,40;1,14;969.126;7,8;318.453.926;2.647.856.072
set/23;0,26;915.783,60;0,97;968.328;7,7;315.874.042;2.695.140.101
out/23;0,24;953.962,40;1;961.764;7,6;310.234.599;2.729.859.155
nov/23;0,28;961.939,40;0,92;963.865;7,5;327.007.854;2.749.978.708
dez/23;0,56;949.399,60;0,89;983.034;7,4;352.477.983;2.809.156.503
jan/24;0,42;888.765,70;0,97;968.071;7,6;316.833.759;2.766.517.202
fev/24;0,83;899.016,30;0,8;969.558;7,8;319.493.117;2.796.710.817
mar/24;0,16;965.417,80;0,83;975.770;7,9;325.226.995;2.875.959.089
abr/24;0,38;989.530,30;0,89;979.827;7,5;336.966.713;2.902.549.564
mai/24;0,46;961.916,20;0,83;993.273;7,1;343.354.465;2.953.420.943
jun/24;0,21;969.783,00;0,79;1.011.458;6,9;357.210.969;3.050.723.822
jul/24;0,38;1.008.057,50;0,91;1.015.955;6,8;343.779.402;3.095.905.422
ago/24;-0,02;993.815,60;0,87;1.020.997;6,6;352.661.659;3.128.961.094
set/24;0,44;988.040,30;0,84;1.019.337;6,4;347.181.414;3.127.057.937
out/24;0,56;1.048.130,20;0,93;1.018.604;6,2;327.883.635;3.168.602.360
nov/24;0,39;1.026.231,20;0,79;1.021.303;6,1;340.340.913;3.194.039.580
dez/24;0,52;1.006.006,20;0,93;1.031.853;6,2;369.286.093;3.273.383.049
Fonte;IBGE;BCB-Depec;BCB-Demab;BCB-DSTAT;IBGE;BCB-DSTAT;BCB-DSTAT
